,ticker,date,open,high,low,close,volume
1,FPT,12/13/2006,15.6934,15.6934,15.6934,15.6934,83530
2,FPT,12/14/2006,15.6934,16.478,15.6934,16.478,280710
3,FPT,12/15/2006,16.478,17.3019,16.478,17.3019,265300
4,FPT,12/18/2006,17.3019,18.1651,17.3019,18.1651,215790
5,FPT,12/19/2006,18.1651,19.0674,18.1651,19.0674,137520
6,FPT,12/20/2006,19.0674,20.009,19.0674,20.009,220120
7,FPT,12/21/2006,20.009,20.009,19.0282,19.0282,156400
8,FPT,12/22/2006,19.0282,19.0282,18.0866,18.0866,143500
9,FPT,12/25/2006,18.0866,18.0866,17.1842,17.1842,22140
10,FPT,12/26/2006,17.1842,18.0081,16.3603,18.0081,300150
11,FPT,12/27/2006,18.0081,18.832,18.0081,18.832,413230
12,FPT,12/28/2006,18.832,18.832,18.4397,18.832,144840
13,FPT,12/29/2006,18.832,18.832,18.0474,18.0474,69760
14,FPT,1/2/2007,18.0474,18.0474,17.2627,17.2627,81170
15,FPT,1/3/2007,17.2627,17.655,17.2627,17.655,74660
16,FPT,1/4/2007,17.655,18.5182,17.655,18.5182,148510
17,FPT,1/5/2007,18.5182,19.4205,18.5182,19.4205,377800
18,FPT,1/8/2007,19.4205,20.009,19.2244,19.2244,351470
19,FPT,1/9/2007,19.2244,19.4205,19.2244,19.2244,225270
20,FPT,1/10/2007,19.2244,19.4205,19.2244,19.4205,314250
21,FPT,1/11/2007,19.4205,19.6167,19.4205,19.6167,283920
22,FPT,1/12/2007,19.6167,20.5975,19.6167,20.5975,279710
23,FPT,1/15/2007,20.5975,21.6176,20.5975,21.6176,274290
24,FPT,1/16/2007,21.6176,22.6769,21.6176,22.6769,339760
25,FPT,1/17/2007,22.6769,23.5008,21.5784,21.5784,145870
26,FPT,1/18/2007,21.5784,21.6176,20.5191,21.6176,282430
27,FPT,1/19/2007,21.6176,22.6769,21.6176,22.6769,95290
28,FPT,1/22/2007,22.6769,23.7754,22.6769,23.54,461630
29,FPT,1/23/2007,23.54,23.6185,23.54,23.6185,243990
30,FPT,1/24/2007,23.6185,23.6185,22.7554,22.7554,156420
31,FPT,1/25/2007,22.7554,22.7554,22.7554,22.7554,142420
32,FPT,1/26/2007,22.7554,23.1085,22.363,22.7554,129240
33,FPT,1/29/2007,22.7554,23.7362,22.7554,23.7362,201310
34,FPT,1/30/2007,23.7362,24.9132,23.7362,24.9132,258290
35,FPT,1/31/2007,24.9132,25.3055,24.9132,25.3055,1993480
36,FPT,2/1/2007,25.3055,25.384,24.3247,24.3247,736990
37,FPT,2/2/2007,24.3247,24.717,24.3247,24.717,500660
38,FPT,2/5/2007,24.717,24.717,23.5008,23.5008,110440
39,FPT,2/6/2007,23.5008,24.5209,23.1477,24.5209,195540
40,FPT,2/7/2007,24.5209,24.9132,23.7754,24.9132,116470
41,FPT,2/8/2007,24.9132,24.9132,23.697,23.697,103880
42,FPT,2/9/2007,23.697,23.697,22.52,22.52,194380
43,FPT,2/12/2007,22.52,23.6185,22.52,23.6185,60490
44,FPT,2/13/2007,23.6185,24.7955,23.6185,24.717,160600
45,FPT,2/14/2007,24.717,24.717,23.9324,23.9324,79810
46,FPT,2/15/2007,23.9324,23.9324,23.9324,23.9324,59720
47,FPT,2/26/2007,23.9324,25.1094,23.9324,25.1094,231310
48,FPT,2/27/2007,25.1094,26.3648,25.1094,26.0902,289680
49,FPT,2/28/2007,26.0902,26.0902,24.7955,24.7955,69560
50,FPT,3/1/2007,24.7955,24.7955,23.9324,24.1285,98850
51,FPT,3/2/2007,24.1285,25.3055,24.1285,25.3055,163420
52,FPT,3/5/2007,25.3055,25.3055,24.9132,24.9132,125170
53,FPT,3/6/2007,24.9131,24.9131,23.7193,23.7193,200880
54,FPT,3/7/2007,23.7193,24.544,23.7193,23.9549,43980
55,FPT,3/8/2007,23.9549,23.9549,22.9732,23.5622,85390
56,FPT,3/9/2007,23.5622,24.3476,23.5622,23.5622,56050
57,FPT,3/12/2007,23.5622,23.9549,23.5622,23.9549,87310
58,FPT,3/13/2007,23.9549,24.0335,22.8553,23.9549,74620
59,FPT,3/14/2007,23.9549,23.9549,22.7768,22.7768,57450
60,FPT,3/15/2007,22.7768,22.7768,21.638,21.638,102590
61,FPT,3/16/2007,21.638,22.6983,21.638,22.6983,102100
62,FPT,3/19/2007,22.6983,23.5622,22.6983,22.6983,105730
63,FPT,3/20/2007,22.6983,22.6983,21.9914,22.0699,100430
